observation_date,exchange,ticker_symbol,pct_change_prev_close,cumulative_volume,day_percent_change,max_day_percent_change
1/7/15,XNAS,YRIV,-26.7,,-27.63157895,2.631578947
1/26/15,XNAS,EXPI,-29.6,,-32.14285714,0
2/2/15,XNYS,AMBO,-33.3,,-33.33333333,6.666666667
2/2/15,XNYS,MTL PR,-24.9,,-39.96,0
2/3/15,XNAS,YRIV,-28.9,,-20,0
2/12/15,XNAS,VTGN,-37.5,,-37.5,0
2/19/15,XNAS,VTGN,-60.5,,-54.85714286,0
3/20/15,XNAS,CYHHZ,-34.8,,-34.7826087,0
4/1/15,XNAS,AEYE,-25.6,,-22.78481013,1.265822785
4/20/15,XNAS,AEYE,-38,,-36.73469388,0
4/21/15,XNAS,AEYE,-38.4,,-32.26950355,20.56737589
4/22/15,XNYS,AMBO,-33.3,,-25,0
4/24/15,XNAS,STAF,-51,,-42.57142857,14.28571429
6/12/15,XNAS,DELT,-23.5,,-30.63926941,0
6/15/15,XNAS,DELT,-27.6,,-24.34662999,0.372764787
6/16/15,XNAS,YRIV,-31.3,,-30.31123139,0.811907984
6/17/15,XNAS,DELT,-36.9,,-34.73325766,4.994324631
7/1/15,XNAS,DELT,-27.2,,-29.4,0
7/7/15,XNYS,MTL PR,-27.8,,-27.17086835,4.957983193
7/14/15,XNYS,AMBO,-40,,-33.33333333,0
7/20/15,XNAS,ATIS,-41.7,,-41.66666667,0
7/22/15,XNAS,EAST,-38.5,,-39.39393939,0
7/24/15,XNAS,ESPR,-20.7,4454468,-20.13677012,3.692793267
7/24/15,XNYS,UTI,-22.1,245170,-20.74468085,0
7/28/15,XNAS,EXPI,-27.5,,-27.4611399,0
7/29/15,XNAS,BGFV,-29.4,2143172,-23.56363636,0
7/30/15,XNAS,GCVRZ,-23.3,,-20,8.695652174
7/31/15,XNYS,REN,-21.9,271080,-20.86075949,0
8/3/15,XNYS,ANFI,-26.5,1968985,-26.20802621,0.819000819
8/3/15,XNYS,ATNM,-25.7,2546677,-23.63636364,0
8/3/15,XNAS,GCVRZ,-34.4,,-32.25806452,3.225806452
8/4/15,XNYS,AAC,-39.3,8182674,-39.34126258,0.213479719
8/4/15,XNAS,HOVNP,-24,,-21.57303371,0
8/4/15,XNAS,SGLB,-22.9,,-21.71875,0
8/5/15,XNAS,ATEC,-42.6,134193,-38.58267717,1.181102362
8/5/15,XNYS,PAGP,-23.2,5732128,-21.69723496,4.222364907
8/6/15,XNAS,ATEC,-33.3,178527,-38.82352941,0.917647059
8/6/15,XNAS,DELT,-23.5,,-29.93309859,0
8/7/15,XNAS,CENX,-37,14681961,-27.04225352,4.507042254
8/7/15,XNAS,CLBS,-24.8,123554,-23.33333333,0.666666667
8/10/15,XNAS,EAST,-30.3,,-31.29251701,0
8/11/15,XNAS,ASCMA,-27.6,417556,-25.07692308,0
8/11/15,XNYS,ENV,-35,5236923,-30.04761905,0
8/12/15,XNAS,FORD,-32.3,2946732,-35.02259887,1.129943503
8/14/15,XNYS,CBK,-47.8,8451251,-21.39534884,1.860465116
8/17/15,XNAS,AEZS,-20.6,139707,-23.33333333,0
8/18/15,XNYS,ANFI,-31,3266875,-27.19665272,0.69735007
8/20/15,XNYS,ANFI,-38.9,5390814,-22.40437159,0.819672131
8/21/15,XNAS,CCIH,-34.3,1962001,-28.69897959,0.318877551
8/21/15,XNAS,PYDS,-32.1,112817,-24.4077381,15.17857143
9/9/15,XNYS,BKS,-27.6,9453867,-21.33333333,3.8
9/17/15,XNAS,ARCW,-21.3,165285,-20.3125,0
9/21/15,XNAS,EAST,-22.5,,-28.46153846,0
9/22/15,XNAS,EAST,-35.7,,-36.38297872,0
9/24/15,XNAS,CNTF,-26.1,135016,-20.39473684,0
9/24/15,XNAS,SIEN,-52.9,6357344,-51.93260654,1.585728444
9/25/15,XNAS,PETX,-39,2950400,-33.18722605,2.37946149
9/28/15,XNAS,CDNA,-40.9,321404,-34.13461539,0
9/28/15,XNAS,ASRT,-22.1,4531724,-20.57373375,2.465262214
9/28/15,XNAS,EPZM,-27.2,1967686,-27.46518106,0.236211699
9/28/15,XNAS,HRTX,-23.5,7301020,-24.18831169,0.032467532
9/28/15,XNYS,HUN,-28.7,20451508,-24.21695951,2.444614209
9/28/15,XNAS,NLNK,-20.8,1630736,-20.75883576,0.124740125
9/28/15,XNAS,VCYT,-21.6,183304,-20.60518732,2.017291066
9/28/15,XNAS,VSTM,-67.4,15295701,-31.73431734,1.10701107
9/29/15,XNAS,ESPR,-47.8,9921135,-29.5,3.538461538
9/29/15,XNAS,MCRB,-22.1,872511,-21.875,0
9/29/15,XNAS,EXPI,-32,,-27.13898015,0
10/1/15,XNAS,EDAP,-34.7,2374997,-33.63636364,2.363636364
10/5/15,XNAS,CDZI,-37.8,731882,-38.16120907,0
10/12/15,XNYS,SXC,-28.1,4021320,-26.97916667,1.041666667
10/14/15,XNYS,AX,-30.2,23818136,-25.8008982,0
10/14/15,XNYS,EROS,-20.4,2319132,-20.6696716,0
10/19/15,XNAS,MBII,-21.8,178213,-23.52941177,0
10/20/15,XNAS,NEOS,-32.9,319102,-25.32934132,0
10/22/15,XNAS,ENTA,-40.6,4926408,-40.75359445,0.235498265
10/28/15,XNAS,BELFB,-22.5,244229,-23.1633535,0
10/29/15,XNAS,DMRC,-28.2,966221,-26.52276759,5.913660556
10/29/15,XNAS,MDXG,-23.2,8566799,-23.18229716,0.421496312
11/2/15,XNAS,CRNT,-21.7,2390529,-20.80924856,0
11/5/15,XNAS,BIOL,-23.7,198986,-21.11111111,2.111111111
11/5/15,XNYS,CSLT,-31.7,5172788,-24.74012474,1.03950104
11/5/15,XNYS,ENVA,-31,1652973,-29.73621103,0
11/6/15,XNAS,NLNK,-24.5,3455327,-24.23497878,3.506812598
11/6/15,XNAS,CYHHZ,-23.6,,-24.21875,0
11/6/15,XNAS,EAST,-23.3,,-20.68965517,3.448275862
11/9/15,XNAS,CALA,-21.9,1453093,-22.78106509,0.098619329
11/9/15,XNAS,CPST,-23.8,594165,-21.03896104,3.376623377
11/9/15,XNAS,ORGS,-27.5,,-21.85,0.125
11/10/15,XNAS,ASCMA,-21.3,453802,-20.17777778,0.044444444
11/10/15,XNYS,FTK,-38.1,22215899,-20.35242291,1.497797357
11/11/15,XNYS,EROS,-31.4,4609992,-30.67226891,1.176470588
11/12/15,XNAS,AMDA,-32.7,133586,-33.27868853,1.092896175
11/13/15,XNAS,AKER,-34.7,214250,-29.03082723,2.018185851
11/17/15,XNAS,AGFS,-28.1,2071677,-27.97202797,0
11/17/15,XNYS,VSLR,-23.3,1663650,-23.14136126,2.094240838
11/30/15,XNYS,ATV,-22.8,201700,-27.3674455,0.58829963
12/2/15,XNYS,ATV,-38.2,2204800,-25.81249671,4.874429824
12/3/15,XNYS,ATV,-37,942200,-30.74082128,6.296256026
12/7/15,XNYS,CORR PR A,-30.6,,-31.41289438,0
12/10/15,XNAS,GLG,-22.6,,-21.9431714,0
12/15/15,XNAS,ORGS,-22.9,,-21.05263158,0
12/17/15,XNYS,AMID,-20.3,874671,-20.47713718,1.26640159
12/17/15,XNYS,GLOG,-22.6,3509724,-21.05820106,1.587301587
12/17/15,XNAS,GMLP,-29.7,6251936,-28.95816243,0
12/21/15,XNYS,LITB,-24.1,391425,-23.17073171,4.634146341
12/22/15,XNAS,ASYS,-22.7,181087,-22.18181818,0.606060606
12/31/15,XNAS,AEYE,-23.7,,-32,0
1/7/16,XNAS,CLBS,-34,270172,-26.31578947,0
1/8/16,XNYS,SXE,-50.4,2550203,-39.53488372,6.511627907
1/8/16,XNYS,WTW,-24.6,14745727,-25.78710645,0.649675162
1/11/16,XNAS,AREX,-21.3,1026969,-20.63492064,0.793650794
1/11/16,XNYS,FCX,-20.3,117668160,-20.18518519,0.37037037
1/11/16,XNYS,ISR,-30.9,1621581,-30.09397204,3.036901215
1/11/16,XNYS,NM,-20.2,2331690,-23.24271845,1.941747573
1/12/16,XNYS,SXE,-33.6,1670068,-35.8974359,23.07692308
1/13/16,XNYS,BXC,-23.4,376760,-21.73913044,0
1/13/16,XNAS,CASI,-24.5,119745,-21.95402299,5.747126437
1/13/16,XNYS,GKOS,-26,791535,-23.87387387,0.327600328
1/13/16,XNYS,TRGP,-21.5,6701864,-22.26720648,2.159244265
1/19/16,XNYS,FTK,-24.7,5393137,-23.75690608,1.084254144
1/19/16,XNAS,HDP,-37,4763134,-32.99101412,4.172015404
1/19/16,XNAS,WATT,-21.4,1025662,-20.90163934,2.254098361
1/20/16,XNYS,EMES,-25.7,1756958,-23.72881356,0.338983051
1/21/16,XNYS,EGL,-47.8,3018531,-39.57583033,0
1/25/16,XNYS,CRK,-38.2,730883,-37.86982249,0.591715976
