date,ticker,pct_change_prev_close,day_percent_change,max_day_percent_change,source,title,description,url,same_or_prev
8/19/15,CLUB,32.5,35.9375,36.97916667,bw,"Town Sports International Holdings, Inc. Announces Gregory Bartoli as Chief Operating Officer","Town Sports International Holdings, Inc. (""TSI"" or the ""Company"") (NASDAQ:CLUB) today announced the appointment of Gregory Bartoli as Chief Operating Officer of the Company, effective August 19, 2015....",http://www.businesswire.com/news/home/20150818005401/en/Town-Sports-International-Holdings-Inc.-Announces-Gregory-Bartoli-as-Chief-Operating-Officer,prev
11/6/15,ECOM,45,20.14585233,21.60437557,bw,ChannelAdvisor Promotes Richard Cornetta to Vice President of Finance and Chief Accounting Officer,"ChannelAdvisor Corporation (NYSE:ECOM), a leading provider of cloud-based e-commerce solutions that enable retailers and manufacturers to increase global sales, today announced the promotion of Richar...",http://www.businesswire.com/news/home/20151105006472/en/ChannelAdvisor-Promotes-Richard-Cornetta-to-Vice-President-of-Finance-and-Chief-Accounting-Officer,prev
3/10/16,CBK,41.3,34.17085427,47.73869347,bw,Christopher & Banks Corporation Announces Changes to Board of Directors and Support Agreement with Macellum Capital Management,"Christopher & Banks Corporation (NYSE:CBK), a Minnesota-based retailer of women’s apparel and accessories, today announced that it has entered into a Support Agreement with Macellum Capital Manage...",http://www.businesswire.com/news/home/20160310005763/en/Christopher-Banks-Corporation-Announces-Changes-to-Board-of-Directors-and-Support-Agreement-with-Macellum-Capital-Management,same
7/15/16,CIDM,77.1,22.59230769,52.30769231,bw,Cinedigm Appoints Ron Chez as New Lead Director,"Cinedigm Corp. (NASDAQ: CIDM) today announced it has appointed Ron Chez as Lead Director to its Board of Directors, following one year as Strategic Advisor to the Company. Ron Chez has served in the r...",http://www.businesswire.com/news/home/20160715005166/en/Cinedigm-Appoints-Ron-Chez-as-New-Lead-Director,same
4/28/17,BCEI,-35.3,-35.26468213,32.03491798,gnw,Bonanza Creek Energy Successfully Completes Prepackaged Financial Restructuring; Emerges From Chapter 11; Announces New Board of Directors,"DENVER, April 28, 2017 (GLOBE NEWSWIRE) -- Bonanza Creek Energy, Inc. (NYSE:BCEI) (“Bonanza Creek” or the “Company”) today announced that in accordance with and pursuant to its Plan of...",https://www.globenewswire.com/news-release/2017/04/28/974578/0/en/Bonanza-Creek-Energy-Successfully-Completes-Prepackaged-Financial-Restructuring-Emerges-From-Chapter-11-Announces-New-Board-of-Directors.html,same
9/25/18,AGTC,26,24.75247525,33.66336634,gnw,AGTC Appoints William Aliski to its Board of Directors,"GAINESVILLE, Fla. and CAMBRIDGE, Mass., Sept. 24, 2018 (GLOBE NEWSWIRE) -- Applied Genetic Technologies Corporation (NASDAQ: AGTC), a biotechnology company conducting human clinical trials of...",https://www.globenewswire.com/news-release/2018/09/24/1575324/30580/en/AGTC-Appoints-William-Aliski-to-its-Board-of-Directors.html,prev
10/17/18,MOSY,30.1,36.79245283,41.50943396,gnw,MoSys Appoints Two New Independent Directors,"SAN JOSE, Calif., Oct. 17, 2018 (GLOBE NEWSWIRE) -- MoSys, Inc. (NASDAQ: MOSY), a provider of semiconductor solutions that enable fast, intelligent data access for cloud networking, security, test...",https://www.globenewswire.com/news-release/2018/10/17/1622717/0/en/MoSys-Appoints-Two-New-Independent-Directors.html,same
10/19/18,SREV,-46.2,-21.94444444,1.666666667,bw,ServiceSource Appoints Richard G. Walker as Chief Financial Officer,"ServiceSource (NASDAQ: SREV) (the “Company”), a global leader in outsourced inside sales, customer success and recurring revenue growth and retention solutions, today announced that Richard G. Walker,...",http://www.businesswire.com/news/home/20181018005910/en/ServiceSource-Appoints-Richard-G.-Walker-as-Chief-Financial-Officer,prev
11/2/18,USX,-30,-21.11111111,0,bw,U.S. Xpress Announces New Chief Operating Officer,"U.S. Xpress Enterprises, Inc. (NYSE:USX) announced today that Matt Herndon is joining the company as Chief Operating Officer for its subsidiary, U.S. Xpress, Inc. Herndon has been in the trucking busi...",http://www.businesswire.com/news/home/20181102005102/en/U.S.-Xpress-Announces-New-Chief-Operating-Officer,same
12/20/18,PIR,-57.6,-49.94680851,4.255319149,bw,"Pier 1 Imports, Inc. Appoints Cheryl A. Bachelder Interim Chief Executive Officer","Pier 1 Imports, Inc. (NYSE:PIR) today announced that Cheryl A. Bachelder, a member of the Company’s Board of Directors, has been appointed Interim Chief Executive Officer, effective immediately. Ms. B...",http://www.businesswire.com/news/home/20181219005797/en/Pier-1-Imports-Inc.-Appoints-Cheryl-A.-Bachelder-Interim-Chief-Executive-Officer,prev
12/21/18,EDIT,-20.8,-20.39387309,0.218818381,gnw,Editas Medicine Announces Transition of Chief Financial Officer,"CAMBRIDGE, Mass., Dec. 21, 2018 (GLOBE NEWSWIRE) -- Editas Medicine, Inc. (NASDAQ: EDIT), a leading genome editing company, today announced that its Chief Financial Officer, Andrew Hack, M.D.,...",https://www.globenewswire.com/news-release/2018/12/21/1677706/0/en/Editas-Medicine-Announces-Transition-of-Chief-Financial-Officer.html,same
1/7/19,AXGN,-23.2,-20.9178744,1.449275362,gnw,"AxoGen Appoints Christopher Crisman as Vice President, U.S. Sales"," ALACHUA, Fla., Jan. 07, 2019 (GLOBE NEWSWIRE) -- AxoGen, Inc. (NASDAQ: AXGN), a global leader in developing and marketing innovative surgical solutions for damage or discontinuity to...",https://www.globenewswire.com/news-release/2019/01/07/1681344/0/en/AxoGen-Appoints-Christopher-Crisman-as-Vice-President-U-S-Sales.html,same
1/8/19,ANFI,62.5,43,54,bw,"Amira Nature Foods Ltd. Appoints Hervé Larren as New Board Member, Bringing Experience in Building Brands Internationally, as well as in New Era Supply Chain Technology","Amira Nature Foods Ltd. (the ""Company"") (NYSE: ANFI) approved the appointment of Hervé Larren as an independent director of the company on the 24th May 2018. “On behalf of the Company, I want to welco...",http://www.businesswire.com/news/home/20190108005114/en/Amira-Nature-Foods-Ltd.-Appoints-Herv%C3%A9-Larren-as-New-Board-Member-Bringing-Experience-in-Building-Brands-Internationally-as-well-as-in-New-Era-Supply-Chain-Technology,same
1/22/19,ANFI,33.8,34.30544896,36.86364799,bw,"Amira Nature Foods Ltd Announces Appointment of Thomas Dennhardt as CEO of Its German Subsidiary, Amira Basmati Rice GmbH","Amira Nature Foods Ltd (the ""Company"") (NYSE: ANFI), a global provider of packaged Indian specialty rice, today announced the appointment of Thomas Dennhardt to the role of Chief Executive Officer (CE...",http://www.businesswire.com/news/home/20190122005191/en/Amira-Nature-Foods-Ltd-Announces-Appointment-of-Thomas-Dennhardt-as-CEO-of-Its-German-Subsidiary-Amira-Basmati-Rice-GmbH,same
1/30/19,HZN,22.4,21.6374269,28.65497076,bw,Horizon Global Names Barry Steele Chief Financial Officer,"Horizon Global Corporation (NYSE: HZN), one of the world’s leading manufacturers of branded towing and trailering equipment, today announced that Barry Steele has been named the Company’s Chief Financ...",http://www.businesswire.com/news/home/20190129005189/en/Horizon-Global-Names-Barry-Steele-Chief-Financial-Officer,prev
2/26/19,STKL,-42.8,-38.88888889,3.439153439,bw,SunOpta Announces CEO Transition,"SunOpta Inc. (“SunOpta” or the “Company”) (Nasdaq:STKL) (TSX:SOY), a leading global company focused on organic, non-genetically modified and specialty foods, today announced the termination of David J...",http://www.businesswire.com/news/home/20190226005270/en/SunOpta-Announces-CEO-Transition,same
3/26/19,LTRX,26.8,25.86872587,28.95752896,gnw,Former Micrsosemi President and COO Paul Pickle to Join Lantronix as President and CEO,"IRVINE, Calif., March 25, 2019 (GLOBE NEWSWIRE) -- Lantronix, Inc. (the “Company”) (NASDAQ: LTRX), a global provider of secure data access and management solutions for the industrial Internet of...",https://www.globenewswire.com/news-release/2019/03/25/1762135/0/en/Former-Micrsosemi-President-and-COO-Paul-Pickle-to-Join-Lantronix-as-President-and-CEO.html,prev
4/12/19,PCG,20.6,20.33368092,21.06360793,bw,New PG&E Board Announces Additional Leadership Actions,PG&E Corporation (NYSE: PCG) today announced that its newly constituted Board of Directors has taken additional actions to further enhance PG&E’s safety culture and operational excellence. The...,http://www.businesswire.com/news/home/20190411005931/en/New-PGE-Board-Announces-Additional-Leadership-Actions,prev
4/17/19,TIGR,-27.6,-29.2,0.877777778,gnw,UP Fintech Holding Limited Names Katherine Wei Wu as Global Chief Compliance Officer,"BEIJING, April 16, 2019 (GLOBE NEWSWIRE) -- UP Fintech Holding Limited (“UP Fintech” or the “Company”) (NASDAQ: TIGR), a leading online brokerage firm focusing on global Chinese investors, today...",https://www.globenewswire.com/news-release/2019/04/16/1804700/0/en/UP-Fintech-Holding-Limited-Names-Katherine-Wei-Wu-as-Global-Chief-Compliance-Officer.html,prev
6/13/19,DEST,-35,-33.33333333,4.803418803,bw,Destination Maternity Corporation Announces Senior Leadership Transition and Appoints New Board Member,"Destination Maternity Corporation (Nasdaq:DEST) announced today that Marla Ryan, by mutual agreement with the Board of Directors, will step down as Chief Executive Officer, effective June 13, 2019. De...",http://www.businesswire.com/news/home/20190612005913/en/Destination-Maternity-Corporation-Announces-Senior-Leadership-Transition-and-Appoints-New-Board-Member,prev
6/17/19,ABUS,24.7,21.33333333,29.33333333,gnw,"Arbutus Appoints William Collier as Next President & CEO and Announces Retirement of Current President & CEO, Mark J. Murray Ph.D.","WARMINSTER, Pa., June 17, 2019 (GLOBE NEWSWIRE) -- Arbutus Biopharma Corporation (Nasdaq: ABUS), an industry-leading Hepatitis B Virus (HBV) therapeutic solutions company, today announced the...",https://www.globenewswire.com/news-release/2019/06/17/1869528/14025/en/Arbutus-Appoints-William-Collier-as-Next-President-CEO-and-Announces-Retirement-of-Current-President-CEO-Mark-J-Murray-Ph-D.html,same
6/28/19,STON,36.6,34.96932515,34.96932515,gnw,StoneMor Partners L.P. Announces Recapitalization Transactions and Board Changes; Andrew Axelrod Named Chairman of the Board,"TREVOSE, Pa., June 27, 2019 (GLOBE NEWSWIRE) -- StoneMor Partners L.P. (NYSE: STON) (“StoneMor” or the “Partnership”), a leading owner and operator of 322 cemeteries and 91 funeral homes in 27...",https://www.globenewswire.com/news-release/2019/06/27/1875672/11738/en/StoneMor-Partners-L-P-Announces-Recapitalization-Transactions-and-Board-Changes-Andrew-Axelrod-Named-Chairman-of-the-Board.html,prev
7/30/19,IRMD,33.3,20.5,27.803,gnw,IRADIMED CORPORATION Names Leslie McDonnell as President and Chief Executive Officer,"WINTER SPRINGS, Fla., July 29, 2019 (GLOBE NEWSWIRE) -- IRADIMED CORPORATION (NASDAQ: IRMD) announced today that its Board of Directors unanimously appointed Leslie McDonnell, to succeed Roger Susi...",https://www.globenewswire.com/news-release/2019/07/29/1893197/32443/en/IRADIMED-CORPORATION-Names-Leslie-McDonnell-as-President-and-Chief-Executive-Officer.html,prev
8/6/19,FLGT,27.5,27.29528536,33.37468983,gnw,Fulgent Genetics Names Linda Marsh to Board of Directors,"TEMPLE CITY, Calif., Aug. 05, 2019 (GLOBE NEWSWIRE) -- Fulgent Genetics, Inc. (NASDAQ: FLGT) (“Fulgent Genetics”, “Fulgent” or the “company”) today announced the addition of Linda Marsh, Senior...",https://www.globenewswire.com/news-release/2019/08/05/1896816/0/en/Fulgent-Genetics-Names-Linda-Marsh-to-Board-of-Directors.html,prev
8/9/19,INWK,58.5,37.6146789,42.81345566,bw,InnerWorkings Announces Cooperation Agreement with Engaged Capital,"InnerWorkings, Inc. (NASDAQ: INWK) (the “Company”), the leading global marketing execution firm, today announced that it has entered into a cooperation agreement with Engaged Capital, LLC (“Engaged Ca...",http://www.businesswire.com/news/home/20190809005411/en/InnerWorkings-Announces-Cooperation-Agreement-with-Engaged-Capital,same
